OSEBuildingID,Campus,NonResidential,Age_Built,AgeBuilt_classe,NumberofBuildings,NumberofFloors_classe,PropertyGFATotal_log,PropertyGFAParking_log,TotalPropertyUseTypes,PrimaryPropertyType,LargestPropertyUseTypeGFA_rel,SecondLargestPropertyUseTypeGFA_rel,ThirdLargestPropertyUseTypeGFA_rel,NaturalGas(kBtu)_bin,SteamUse(kBtu)_bin,ENERGYSTARScore,ENERGYSTARScore_imputed,SiteEnergyUse(kBtu),TotalGHGEmissions
26833,0,1,29,1,0.0,0,9.980494888896912,0.0,2,Small- and Mid-Sized Office,0.5370370370370371,0.46296296296296297,0.0,1,0,,61.2,1539176.625,32.42
26838,0,1,112,4,1.0,0,10.610365039544332,0.0,1,Hotel,1.0,0.0,0.0,1,0,99.0,98.99999999999999,1200180.875,53.25
26847,0,1,113,4,1.0,0,10.355613575443341,0.0,3,Small- and Mid-Sized Office,0.7336154237719521,0.22667981674726392,0.03970475948078391,0,0,,68.19999999999999,1439572.375,10.04
26849,0,1,105,4,1.0,1,10.10850786559065,0.0,2,Retail Store,0.5498981670061099,0.45010183299389,0.0,1,0,100.0,100.0,977230.3125,6.73
26883,0,1,114,4,1.0,0,10.160645982437616,0.0,2,Other,0.5167027528611197,0.3255490256727498,0.0,1,0,,71.8,1028277.313,34.61
26924,0,1,17,0,0.0,1,10.292450580544786,8.870803443982124,6,Mixed Use Property,0.37528805747593874,0.2773146265419547,0.22261759522841262,1,0,,69.6,2217620.0,81.24
26933,0,1,109,4,1.0,0,9.951944327804322,0.0,3,Other,1.171875,0.2203220274390244,0.07931592987804878,1,0,,63.599999999999994,2473302.0,104.74
26939,0,1,97,3,1.0,1,10.014357861367552,0.0,1,K-12 School,1.0,0.0,0.0,1,0,40.0,40.0,1522596.75,55.23
26956,0,1,101,4,1.0,0,10.370392636243981,0.0,1,University,0.8150470219435737,0.0,0.0,1,0,,78.6,2466100.0,96.2
26961,0,1,72,2,1.0,1,10.289362010879287,0.0,4,Other,0.6285141244858415,0.3041098684434171,0.04912125641635789,1,0,,69.19999999999999,1631479.125,56.25
26973,0,1,113,4,1.0,0,10.805679360030782,0.0,3,Mixed Use Property,0.48883344489746244,0.4793606361183797,0.10791293941053572,0,0,,66.19999999999999,4729846.5,9.23
26986,0,1,25,0,1.0,0,10.36854145205595,0.0,2,Supermarket / Grocery Store,0.9704155020256902,0.029584497974309853,0.0,1,0,,46.60000000000001,13140574.0,404.21
